Category	Title	Link	Title1	Link1	Title2	Link2
Leadership	20Books Vegas 2023: Level Up Your Author Business	https://youtu.be/oi8ccDuDizE	Vegas 2022 - Opening Ceremony & High Powered Authors Panel	https://youtu.be/YHyiwwKlcD4	Vegas 2021 - Scaling Up Your Author Career	https://youtu.be/p-OZJ-IIVOg
Leadership	Opening Ceremony & High Powered Authors Panel	https://youtu.be/YHyiwwKlcD4	Vegas 2022 - Children's Books	https://youtu.be/5ZcRZS7EJEI	Vegas 2021 - Clean & Wholesome Romance	https://youtu.be/VZxz0EDVPqg
Leadership	The Author's Journey Begins at the End of Your Comfort Zone	https://youtu.be/wNKQzyYQpnI	Vegas 2022 - Better Readthrough, Higher Royalties	https://youtu.be/A-kCJ_Ad0vI	Vegas 2021 - How to Do a Photo Shoot for Your Cover, Ads & Brand	https://youtu.be/lfG1MLy-9Y0
Leadership	Going For What You Want	https://youtu.be/ZTEgzOqeNjo	Vegas 2022 - Audiobooks vs. Audio Dramatization	https://youtu.be/NeuqvRQj3dM	Vegas 2021 - Jami Albright - Wish I’d Known Then About Indie Publishing	https://youtu.be/ePQbGq_NhSc
Leadership	Burnout Recovery and The Ladder Out	https://youtu.be/MiaPNUwV8SM	Vegas 2022 - Increase Your Sales at Google Play Books and Apple Books	https://youtu.be/jOzIvaro8b8	Vegas 2021 - Kevin J. Anderson - Perfect Storm: Indie Publishing Happened	https://youtu.be/0tzZKySey5g
Leadership	How to Become the CEO of Your Author Business	https://youtu.be/B6RhTP0b6_g	Vegas 2022 - Evergreen: Keep People Signed Up to Your Newsletter	https://youtu.be/yil4LZsakj8	Vegas 2021 - Amazon A+ Content	https://youtu.be/mzhIVq2iAvQ
Leadership	The Power and the Pitfalls of Publishing	https://youtu.be/o7ZEb7-UwTU	Vegas 2022 - Production and Motivation	https://youtu.be/uA1rkFZ3Uqg	Vegas 2019 - Maximized Blurbification	https://youtu.be/PaCjmxZJJo0
Leadership	Production and Motivation	https://youtu.be/uA1rkFZ3Uqg	Vegas 2022 - Author Success Archetypes	https://youtu.be/K9rIrW0sKXQ	Vegas 2019 - Amazon Ads 101	https://youtu.be/3uoVAKCosz4
Leadership	Author Success Archetypes	https://youtu.be/K9rIrW0sKXQ	Vegas 2022 - Full-Time Living Off Fewer Than One Book a Year	https://youtu.be/QSdnWwQAFXw	Vegas 2019 - Productivity	https://youtu.be/aHdTrcsaxuw
Leadership	When a Small Press and Traditional Publisher Collaborate	https://youtu.be/0F68hNi3G6Q	Vegas 2022 - Working Through Adversity	https://youtu.be/Y2rvSHjrUdA	Vegas 2019 - From Author to Empire	https://youtu.be/iMtBryz7ODE
Leadership	Working Through Adversity	https://youtu.be/Y2rvSHjrUdA	Vegas 2022 - IASFA - Membership Meeting	https://youtu.be/8O07WXe75TE	Vegas 2019 - Ask Us Anything	https://youtu.be/QzjcWkbxwVM
Leadership	IASFA - Membership Meeting	https://youtu.be/8O07WXe75TE	Vegas 2022 - Keynote Speech - Michael Anderle	https://youtu.be/a7dJebWxUFI	Vegas 2019 - Industry Representatives	https://youtu.be/9iZ6FkzdtqE
Leadership	Keynote Speech - Michael Anderle	https://youtu.be/a7dJebWxUFI	Vegas 2022 - Black Ice - How to Survive When Your Career Goes into an Unexpected Spin	https://youtu.be/UZdPy6sRahA	Vegas 2019 - High Powered Authors	https://youtu.be/YiGkwsiO2U4
Leadership	Black Ice - How to Survive When Your Career Goes into an Unexpected Spin	https://youtu.be/UZdPy6sRahA	Vegas 2022 - Getting the Technology & Science Right for Novels	https://youtu.be/79-8W-SVGTc	Vegas 2019 - Productivity	https://youtu.be/aHdTrcsaxuw
Craft of Writing	Women's Fiction and Romance	https://youtu.be/ywVeYZNwH4Y	Vegas 2022 - Reader Expectations	https://youtu.be/9tGe81U4vJM	Vegas 2021 - Creating Emotional Connections	https://youtu.be/1sIAmOdxCvw
Craft of Writing	Reader Expectations	https://youtu.be/9tGe81U4vJM	Vegas 2022 - Secrets of Genres	https://youtu.be/wkl_PR-_ah0	Vegas 2021 - Crossing Genre Lines	https://youtu.be/6h8FOxIZ2UQ
Craft of Writing	Secrets of Genres	https://youtu.be/wkl_PR-_ah0	Vegas 2022 - Creativity and Cash	https://youtu.be/AaiCHHxNsII	Vegas 2021 - Crafting Narrative	https://youtu.be/FiGWfxmsI4E
Craft of Writing	Creativity and Cash	https://youtu.be/AaiCHHxNsII	Vegas 2022 - It's the End of the World	https://youtu.be/66qz_rplPRo	Vegas 2021 - The Building Blocks of Romance	https://youtu.be/g351ZiacRSY
Craft of Writing	It's the End of the World	https://youtu.be/66qz_rplPRo	Vegas 2022 - Better Writing Through Stronger Narrative	https://youtu.be/xPpZHOpv66c	Vegas 2021 - Joe Nassise - Story Structure	https://youtu.be/l97soEqf-yE
Craft of Writing	Better Writing Through Stronger Narrative	https://youtu.be/xPpZHOpv66c	Vegas 2022 - Supporting Characters And Subplots	https://youtu.be/FjkOIxm-nys	Vegas 2021 - Developing a Strong, Individual Writer’s Voice	https://youtu.be/hdInRNFAbz4
Craft of Writing	Supporting Characters And Subplots	https://youtu.be/FjkOIxm-nys	Vegas 2022 - The Role of RPGs in Storytelling	https://youtu.be/yILb3lgfxD8	Vegas 2021 - Jonathan Maberry - The Ticking Clock	https://youtu.be/CYgZ4U_WZbg
Craft of Writing	The Role of RPGs in Storytelling	https://youtu.be/yILb3lgfxD8	Vegas 2022 - Beats of a Satisfying Plot	https://youtu.be/WgAdpCSYQKs	Vegas 2021 - Writing Dark Characters	https://youtu.be/MMb0fTKCbRs
Craft of Writing	Beats of a Satisfying Plot	https://youtu.be/WgAdpCSYQKs	Vegas 2022 - Quick Story Map - An Azimuth Check for Your WIP	https://youtu.be/4-0DglEoTRk	Vegas 2021 - Building Worlds	https://youtu.be/lSjB9gBzsO0
Craft of Writing	Quick Story Map - An Azimuth Check for Your WIP	https://youtu.be/4-0DglEoTRk	Vegas 2022 - Self-Editing for Muscular Prose	https://youtu.be/G-1fkg-NiBI	Vegas 2021 - Kate Pickford - How to Make Your Novel UNPUTDOWNABLE	https://youtu.be/yDs4sFZre44
Craft of Writing	Self-Editing for Muscular Prose	https://youtu.be/G-1fkg-NiBI	Vegas 2022 - Editing Boot Camp (Palace 4 version)	https://youtu.be/pdTBFosc2ds	Vegas 2021 - M.A. Rothman - Putting Science in Science Fiction	https://youtu.be/jEQm-Kj1ixU
Craft of Writing	Editing Boot Camp (Palace 4 version)	https://youtu.be/pdTBFosc2ds	Vegas 2022 - Great Beginnings	https://youtu.be/OU-6NYIKVEM	Vegas 2021 - Kevin J  Anderson - Productivity	https://youtu.be/EVgY1uJUJPQ
Craft of Writing	Great Beginnings	https://youtu.be/OU-6NYIKVEM	Vegas 2022 - Old School Monsters	https://youtu.be/Jcz0ShSe4U4	Vegas 2021 - David Weber - Staying Creative During a Long Career	https://youtu.be/8XoGhLsDD44
Craft of Writing	Old School Monsters	https://youtu.be/Jcz0ShSe4U4	Vegas 2022 - Working Backwards to Move Forwards	https://youtu.be/POsBQC-y1tE	Vegas 2021 - Writing Artificial Intelligence (AI) Intelligently	https://youtu.be/WhJu3kC6tZ0
Craft of Writing	Working Backwards to Move Forwards	https://youtu.be/POsBQC-y1tE	Vegas 2022 - Writing into the Dark	https://youtu.be/WHFukILTNgQ	Vegas 2021 - Steven Higgs - Writing for Maximum Productivity	https://youtu.be/Vg8ooTGvWaA
Craft of Writing	Writing into the Dark	https://youtu.be/WHFukILTNgQ	Vegas 2022 - How to Write a Bestseller Using Blockbuster Software	https://youtu.be/9sGwBhttykA	Vegas 2021 - Five Most Common Developmental Fears	https://youtu.be/T6APrCIGM04
Craft of Writing	How to Write a Bestseller Using Blockbuster Software	https://youtu.be/9sGwBhttykA	Vegas 2022 - Editing Boot Camp (Bronze 1 version)	https://youtu.be/vhAk1CZIyUM	Vegas 2021 - Kyla Stone - Write to Market: The Mindset & Decision	https://youtu.be/WgueUKiftzk
Craft of Writing	Editing Boot Camp (Bronze 1 version)	https://youtu.be/vhAk1CZIyUM	Vegas 2022 - Writing Action	https://youtu.be/Jq7vKPpRKc4	Vegas 2021 - Becca Syme - Productivity Myths	https://youtu.be/SLrwmj9uUvc
Craft of Writing	Writing Action	https://youtu.be/Jq7vKPpRKc4	Vegas 2022 - Storytelling in Someone Else's Universe	https://youtu.be/PikdYVJtzzY	Vegas 2021 - John Truby - Story Rescue Workshop	https://youtu.be/QIFjeokMJMA
Craft of Writing	Storytelling in Someone Else's Universe	https://youtu.be/PikdYVJtzzY	Vegas 2022 - Writing The Antagonist	https://youtu.be/pBiQixtVWvY	Vegas 2021 - Reaching Readers When Writing a Longer Series	https://youtu.be/GahZ_Hqzj4g
Craft of Writing	Writing The Antagonist	https://youtu.be/pBiQixtVWvY	Vegas 2022 - The Value of Research	https://youtu.be/Bc6vuceBWMo	Vegas 2021 - Plottr Usage Overview and Tips	https://youtu.be/zKUdMQjqytA
Craft of Writing	The Value of Research	https://youtu.be/Bc6vuceBWMo	Vegas 2022 - How to Carry an Audience Seamlessly From One Book to the Next	https://youtu.be/uvnfyZDHluM	Vegas 2021 - Getting Firearms Right in Fiction	https://youtu.be/8LXHyApBztE
Craft of Writing	How to Carry an Audience Seamlessly From One Book to the Next	https://youtu.be/uvnfyZDHluM	Vegas 2022 - Writing Better Action Scenes	https://youtu.be/M7Pnda3nBgk	Vegas 2021 - Martha Carr Urban Fantasy Worldbuilding	https://youtu.be/yGBDe3LNU2g
Craft of Writing	Writing Better Action Scenes	https://youtu.be/M7Pnda3nBgk	Vegas 2022 - Writing for a Video Game	https://youtu.be/Lb1ukWFJDYk	Vegas 2021 - Jonathan Maberry - The Short Story	https://youtu.be/f5tyHtzl31Y
Craft of Writing	Writing for a Video Game	https://youtu.be/Lb1ukWFJDYk	Vegas 2022 - What Makes Mainstream Mystery Sell?	https://youtu.be/r1ubj5RnRvc	Vegas 2021 - Breathing Life into Your Characters	https://youtu.be/R4zpVGHbCNg
Craft of Writing	What Makes Mainstream Mystery Sell?	https://youtu.be/r1ubj5RnRvc	Vegas 2022 - How to Test Your Magic System	https://youtu.be/TnZTEDArzdE	Vegas 2021 - Working with an Editor	https://youtu.be/Br2-RKRCTrA
Craft of Writing	How to Test Your Magic System	https://youtu.be/TnZTEDArzdE	Vegas 2022 - Character Development	https://youtu.be/nUeJn9KXqVw	Vegas 2021 - Writing Realistic Scenes With UF Characters	https://youtu.be/_PTekRJkLzY
Craft of Writing	Character Development	https://youtu.be/nUeJn9KXqVw	Vegas 2022 - Dialogue	https://youtu.be/GWY42pl2Prw	Vegas 2021 - Clarity of Narrative	https://youtu.be/GfA_IW29g9g
Craft of Writing	Dialogue	https://youtu.be/GWY42pl2Prw	Vegas 2022 - Worldbuilding: A Conversation	https://youtu.be/OYsKpB_XVS0	Vegas 2021 - Use Nine Truths To Tell One Lie	https://youtu.be/Gi0GAsyehtg
Craft of Writing	Worldbuilding: A Conversation	https://youtu.be/OYsKpB_XVS0	Vegas 2022 - Writing Better Villains	https://youtu.be/oszCTLAbi2Q	Vegas 2021 - Creative + Strategic + Individualized	https://youtu.be/0dI5Lixmusg
Craft of Writing	Writing Better Villains	https://youtu.be/oszCTLAbi2Q	Vegas 2022 - Unleash the Arcane with the Magic-System Blueprint	https://youtu.be/7mNKBr9ZRWk	Vegas 2021 - Worldbuilding with Merchandising in Mind	https://youtu.be/QggmrSnX2pg
Craft of Writing	Unleash the Arcane with the Magic-System Blueprint	https://youtu.be/7mNKBr9ZRWk	Vegas 2022 - Writing Better Short Stories	https://youtu.be/m4rbdxUxqNE	Vegas 2021 - Write to Market 2021 Masterclass	https://youtu.be/b_iw3im_DwA
Craft of Writing	Writing Better Short Stories	https://youtu.be/m4rbdxUxqNE	Vegas 2022 - System-First Series Creation	https://youtu.be/CzNzRQtg4js	Vegas 2021 - Making SF Worlds and Aliens Feel as Real as This One	https://youtu.be/U84JVcyetqE
Craft of Writing	System-First Series Creation	https://youtu.be/CzNzRQtg4js	Vegas 2022 - Making Your Magic Matter	https://youtu.be/iCA4L80VmwQ	Vegas 2021 - Character Driven Urban Fantasy	https://youtu.be/3j-clljOTE4
Craft of Writing	Making Your Magic Matter	https://youtu.be/iCA4L80VmwQ	Vegas 2022 - Writing a Compelling Thriller	https://youtu.be/63J-VQUqqp0	Vegas 2021 - Emotional Resonance	https://youtu.be/vvUwMa-uayw
Craft of Writing	Writing a Compelling Thriller	https://youtu.be/63J-VQUqqp0	Vegas 2022 - Writing Dialogue	https://youtu.be/EIFOEtTGA1w	Vegas 2021 - Crafting Narrative	https://youtu.be/FiGWfxmsI4E
Craft of Writing	Writing Dialogue	https://youtu.be/EIFOEtTGA1w	Vegas 2022 - Plottr for Pantsers	https://youtu.be/g6WMOBw54AM	Vegas 2021 - Writing a Memoir to Break into the Author Business	https://youtu.be/jqTDNIOa6HM
Craft of Writing	Plottr for Pantsers	https://youtu.be/g6WMOBw54AM	Vegas 2022 - Creative Process	https://youtu.be/rX630ucP7Bc	Vegas 2021 - How to Build Magic Systems	https://youtu.be/OPdItzqyAF8
Craft of Writing	Creative Process	https://youtu.be/rX630ucP7Bc	Vegas 2022 - Thrills and Chills: Horror and Cross-Genre Thrillers	https://youtu.be/ZAbx4DW_VS4	Vegas 2019 - Attitude of a Fiction Author	https://youtu.be/71Q8aw5jzrE
Craft of Writing	Thrills and Chills: Horror and Cross-Genre Thrillers	https://youtu.be/ZAbx4DW_VS4	Vegas 2022 - Balance Romance, Steam, and Plot into a Series with Multiple Partners	https://youtu.be/Ma5bjhFFVAs	Vegas 2019 - Write to Market 2019 Edition	https://youtu.be/gtJEYX6rMx0
Craft of Writing	Balance Romance, Steam, and Plot into a Series with Multiple Partners	https://youtu.be/Ma5bjhFFVAs	Vegas 2022 - The Pitch	https://youtu.be/PcypK-9ezqA	Vegas 2019 - Productivity	https://youtu.be/aHdTrcsaxuw
Craft of Writing	The Pitch	https://youtu.be/PcypK-9ezqA	Vegas 2022 - Deconstructing a Paragraph	https://youtu.be/i4c_mXOxn9A	Vegas 2019 - Keeping A Series Interesting	https://youtu.be/6SqZ1UFDVTk
Craft of Writing	Deconstructing a Paragraph	https://youtu.be/i4c_mXOxn9A	Vegas 2022 - Building a Fandom to Create Reader Loyalty	https://youtu.be/2oOaKzb_T3E	Vegas 2019 - The Destructive Pursuit of Perfection	https://youtu.be/8j68TKKEfrA
Craft of Writing	Building a Fandom to Create Reader Loyalty	https://youtu.be/2oOaKzb_T3E	Vegas 2022 - Success Stories	https://youtu.be/RIblZglRBPk	Vegas 2019 - Story Rescue Workshop	https://youtu.be/kY1Fav8odmc
Craft of Writing	Writing With PTSD and Using It as Therapy	https://youtu.be/8K_6yVJwed8	Vegas 2023 - 20Books Vegas 2023: Level Up Your Author Business	https://youtu.be/oi8ccDuDizE	Vegas 2021 - Self Care Panel	https://youtu.be/92m0h-ZWpTU
Panels	Success Stories	https://youtu.be/RIblZglRBPk	Vegas 2022 - Opening Ceremony & High Powered Authors Panel	https://youtu.be/YHyiwwKlcD4	Vegas 2021 - High Powered Authors	https://youtu.be/O7IgnccrTwY
Panels	New Author Tips for Getting into Audio	https://youtu.be/EEWg7jJo5ag	Vegas 2022 - Building Your Promotional Engagement	https://youtu.be/PkwRaHHQzUo	Vegas 2021 - Subcontracting Tasks in your Author Business	https://youtu.be/ackCaL3jNmo
Panels	Children's Books	https://youtu.be/5ZcRZS7EJEI	Vegas 2022 - Western Romance	https://youtu.be/qxCW5_DJv4Q	Vegas 2021 - Military Sci-Fi Panel	https://youtu.be/yBGuq0Wix8w
Panels	Western Romance	https://youtu.be/qxCW5_DJv4Q	Vegas 2022 - Reverse Harem	https://youtu.be/ptHdhbrgfrk	Vegas 2021 - Advanced Reader Copy	https://youtu.be/YdYbLIcSeDw
Panels	Reverse Harem	https://youtu.be/ptHdhbrgfrk	Vegas 2022 - Military Science Fiction	https://youtu.be/M7daQ1WoFGc	Vegas 2021 - Realistic Police Procedural Panel	https://youtu.be/ch7ONNbwB4g
Panels	Military Science Fiction	https://youtu.be/M7daQ1WoFGc	Vegas 2022 - Memoir	https://youtu.be/d85RRF1In8Q	Vegas 2021 - The Pitch: A Panel for People Pitching a Sci-Fi Novel	https://youtu.be/v7DafKl9uIo
Panels	Memoir	https://youtu.be/d85RRF1In8Q	Vegas 2022 - Advanced Kickstarter	https://youtu.be/YUzJpNH8P_g	Vegas 2021 - Paranormal Romance Panel	https://youtu.be/EzGeCxw43XY
Panels	Advanced Kickstarter	https://youtu.be/YUzJpNH8P_g	Vegas 2022 - Thrillers	https://youtu.be/_4clumNyehw	Vegas 2021 - Co-Author Collaborations Panel	https://youtu.be/pezMIGLFaUc
Panels	Thrillers	https://youtu.be/_4clumNyehw	Vegas 2022 - How to Keep your Writer Writing - Part 1	https://youtu.be/caPkE0oB5vQ	Vegas 2021 - LGBTQ+ in Fiction Panel	https://youtu.be/UsbojHYO_ls
Panels	How to Keep your Writer Writing - Part 1	https://youtu.be/caPkE0oB5vQ	Vegas 2022 - Social Media Groups	https://youtu.be/1L2uOyBCSsM	Vegas 2021 - Superheroes Panel	https://youtu.be/2GBXgYdXDps
Panels	Social Media Groups	https://youtu.be/1L2uOyBCSsM	Vegas 2022 - Urban Fantasy	https://youtu.be/iBdz1V_rY-Y	Vegas 2021 - Post Apocalyptic Panel	https://youtu.be/ecRg5a6hxVE
Panels	Urban Fantasy	https://youtu.be/iBdz1V_rY-Y	Vegas 2022 - LitRPG	https://youtu.be/0qnH56SSOQI	Vegas 2021 - Audiobook Best Practices	https://youtu.be/ZglCLjTFxAg
Panels	LitRPG	https://youtu.be/0qnH56SSOQI	Vegas 2022 - Dark Romance	https://youtu.be/pc4UnRyySig	Vegas 2021 - Urban Fantasy Panel	https://youtu.be/4EkCaljyjso
Panels	Dark Romance	https://youtu.be/pc4UnRyySig	Vegas 2022 - Christian Fiction	https://youtu.be/x1_Dy_B2jHk	Vegas 2021 - Erotica Panel	https://youtu.be/PYQm01YeY0c
Panels	Christian Fiction	https://youtu.be/x1_Dy_B2jHk	Vegas 2022 - Fantasy	https://youtu.be/PB2n22JAlvI	Vegas 2021 - LitRPG Panel	https://youtu.be/-KqkD1wPpHg
Panels	Fantasy	https://youtu.be/PB2n22JAlvI	Vegas 2022 - Being an Indie Publisher	https://youtu.be/0QvBOlJRAus	Vegas 2021 - Cover Design Panel	https://youtu.be/mT8UqEuWAXE
Panels	Being an Indie Publisher	https://youtu.be/0QvBOlJRAus	Vegas 2022 - Post-Apocalyptic	https://youtu.be/MWGVEQxTEIM	Vegas 2021 - Writing Dark Characters	https://youtu.be/MMb0fTKCbRs
Panels	Post-Apocalyptic	https://youtu.be/MWGVEQxTEIM	Vegas 2022 - Steamy Romance	https://youtu.be/Sq5I3tFMje8	Vegas 2021 - Action/Adventure Panel	https://youtu.be/xTFk5sA0He4
Panels	Steamy Romance	https://youtu.be/Sq5I3tFMje8	Vegas 2022 - Historical Fiction	https://youtu.be/wBLq8uYD-04	Vegas 2021 - Thriller Panel with Mark Dawson	https://youtu.be/p0gV0HZHc54
Panels	Historical Fiction	https://youtu.be/wBLq8uYD-04	Vegas 2022 - Paranormal Romance	https://youtu.be/rQdv9Xyr9f0	Vegas 2021 - Working with Beta & Proofreaders	https://youtu.be/tGJMpu6VJj8
Panels	Paranormal Romance	https://youtu.be/rQdv9Xyr9f0	Vegas 2022 - Horror	https://youtu.be/2wHCH36tT9Y	Vegas 2021 - Fantasy Panel	https://youtu.be/sqrgeDWqqTs
Panels	Horror	https://youtu.be/2wHCH36tT9Y	Vegas 2022 - Space Opera	https://youtu.be/DSuW2jzg8fo	Vegas 2021 - Romance or Humour as a Secondary Theme Panel	https://youtu.be/_iLk603-KVo
Panels	Space Opera	https://youtu.be/DSuW2jzg8fo	Vegas 2022 - How to Keep your Writer Writing (Part 2)	https://youtu.be/vXU1J2kwklg	Vegas 2021 - Historical Panel	https://youtu.be/YV5nmcl4Lns
Panels	How to Keep your Writer Writing (Part 2)	https://youtu.be/vXU1J2kwklg	Vegas 2022 - Setting Up Your Author Business Like an Old Pro	https://youtu.be/H0bLqaOMXRo	Vegas 2021 - Direct Sales Panel	https://youtu.be/xKbVS5ocmEY
Panels	Affiliate and Universal Book Links	https://youtu.be/0QYhVQDa510	Vegas 2022 - Upping Your Blurb Game	https://youtu.be/kSyftxfyV1k	Vegas 2021 - Kevin J.  Anderson - Productivity	https://youtu.be/EVgY1uJUJPQ
Panels	Podium Publishing	https://youtu.be/d-rW6znj4xQ	Vegas 2022 - Foreign Language Translations	https://youtu.be/V8LjdjG2hN4	Vegas 2019 - Organizing and Scheduling	https://youtu.be/qzPBDM94rAs
Panels	Foreign Language Translations	https://youtu.be/V8LjdjG2hN4	Vegas 2022 - Taking a Book to Film	https://youtu.be/F-uoGjekw0I	Vegas 2019 - Bootstrapping	https://youtu.be/5_1hcIkoy4Q
Panels	Getting the Technology & Science Right for Novels	https://youtu.be/79-8W-SVGTc	Vegas 2022 - Tricks of Staying Productive Over Time	https://youtu.be/jmgpnqIqWe8	Vegas 2019 - Keeping A Series Interesting	https://youtu.be/6SqZ1UFDVTk
